Rowid,Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,Transaction ID,Fraud Flag or Label,Transaction Source,IP Address,Device Information
11,2020-04-19 15:18:20,1805.22,Hiran Subramaniam,e16012949dcef56d7d31f282999f3e62cb56b4db619d750d05e0323456f3847a,Roy-Dugar,Darbhanga,EUR,American Express,10/28,bd108738-9fe4-46da-9209-065a0bacd9ac,1,In-Person,78.90.166.61,Mobile
12,2022-06-23 19:54:43,2346.0,Neysa Swaminathan,e2f2e91089d850c87a8d4e8f55f38d37f215c028d419ed9166e0a077a7921a80,"Sarin, Vaidya and Thaman",Thoothukudi,EUR,American Express,03/26,66a20e64-2cd8-46ea-95ce-dc9b8a0d326d,0,Online,189.141.204.144,Tablet
13,2021-04-09 05:43:03,453.19,Ritvik Lall,ce78eb3645b0a08add4c97fbe76d44fbb66cd2855cbb0d17d936584579697aba,"Bose, Krishnamurthy and Deep",Kamarhati,INR,Visa,04/29,ff4fc54c-9057-4e33-aaa1-f344f6f7b42a,1,Online,182.126.13.194,Mobile
14,2020-05-06 12:44:44,2538.36,Samar Sridhar,06879fbd48ee40a8f02163d533862d8cdaa84f57bf4ac8987f3b2a612911b268,Luthra-Bandi,Tadipatri,USD,Visa,05/26,34274c8f-7b1b-4dc2-919f-b6e9f1e9bf41,0,In-Person,138.66.205.73,Mobile
15,2021-10-10 00:09:01,4572.85,Kiara Desai,26a3916ef3ef68e9896cc72ca5b4c3ed805ff55b2ed36edccdf2366d11fb0b13,Anand Group,Vijayanagaram,EUR,MasterCard,12/24,8fa4605b-dcad-4d92-80b3-0a64172cbfbd,0,In-Person,162.26.105.72,Desktop
16,2022-05-03 17:20:53,4172.21,Tanya Khalsa,3fe204cb8cf91a36f31cb8009e3ec5749d147007babf9ab54f825e577cf0e4d3,"Randhawa, Khanna and Kamdar",Bhagalpur,USD,Visa,08/30,a836d1e0-9e0f-490a-b8aa-f8c67da63b02,1,In-Person,151.74.51.49,Mobile
17,2023-03-21 18:41:07,1042.79,Samiha Chauhan,757b72ce3f0df46f81ccbe0057d1e19bd836a877bee354f1558d8da4cd4f1140,Warrior Ltd,Bokaro,INR,Visa,12/28,37c09112-7c2a-41da-98ef-64304dde7ffe,1,In-Person,209.245.72.246,Mobile
18,2022-11-08 20:57:13,907.46,Sara Gala,9218a6dd67a4bcdc788184f644dc3d86dbecd4d82c3c5827cec8f4cf4b4759e5,Brar LLC,Hyderabad,INR,MasterCard,12/27,9935feeb-a06f-4826-bfaf-3de7748be8d2,0,In-Person,158.121.35.23,Desktop
19,2023-04-02 10:46:13,3347.31,Vihaan Lad,e5b77dfcb86216302e19d2a982ffa0ed7c51da4370de4e3df11347e44a47af8d,Bhatnagar-Sodhi,Vijayawada,INR,MasterCard,02/31,7843dba2-4cff-4902-bcff-4aef5fa26d11,1,In-Person,125.60.213.254,Desktop
20,2022-05-17 17:20:40,4014.63,Khushi Bhat,0d1bc479a91ac7f4201701bd6479c19fe1b8d0cbbc82e2b213dc03a3a3316262,"Butala, Saraf and Banik",Cuttack,INR,MasterCard,03/26,7aff8237-12db-4a5b-8002-2ad12f6eee9e,0,In-Person,186.38.145.46,Tablet
21,2023-05-30 06:03:16,2971.68,Aaryahi Bhatnagar,2a953f2446046430e1686b2c2a62c347e255f194968d70b53943fde6e60cf87c,Bawa Ltd,Haldia,USD,MasterCard,01/24,1593b256-6b47-4857-969f-1dd4400b909b,0,In-Person,219.141.199.105,Tablet
22,2023-08-26 20:52:13,754.33,Sana Bava,ea6d44c6bd5653992a774a293a6c89827f2082d39ed5dfb83efb14894b3daf71,"Gera, Dora and Dara",Malda,INR,Visa,08/30,35311eea-8809-4aa8-99b9-1fa3c3575398,0,Online,142.56.219.180,Mobile
23,2020-07-17 20:10:12,73.77,Taimur Ganesan,ab10ce5a26ff2ef699c387e1db558e31f05c65514284ab84903d81dca70fb956,"Verma, Issac and Kapadia",Bidar,USD,MasterCard,12/29,45ec8875-3595-4680-b366-0e897cf5eab9,1,Online,185.11.160.187,Tablet
24,2023-05-31 23:20:36,3006.39,Anaya Tella,6b665646756aa2411d85316f92bf9ac47d3cf89a88d6e23ce3faa6892bc1528e,Acharya-Kashyap,Kurnool,INR,American Express,10/26,acf86b0d-d00e-401b-844a-62d6f304b6ac,0,In-Person,88.66.44.202,Mobile
25,2023-10-08 10:03:28,840.62,Eshani Shankar,2fab7786b82bfad91fb4fd2bc6618a7ada30f8c975646524b2ad132f12b51f4b,Bhargava-Mangat,Meerut,EUR,MasterCard,12/28,d6d48739-6739-495d-9620-3895e330ff83,0,In-Person,217.47.169.131,Desktop
26,2021-09-12 22:28:26,4666.18,Biju Sekhon,338b9395844421a2096fda821637077e681657751ca7f6d4b5422b269fa46317,"Kothari, Dhillon and Sandhu",Dharmavaram,USD,Visa,01/30,d6641824-cc25-4492-b60a-cc4c66d9cbd0,0,Online,172.233.211.200,Mobile
27,2022-07-06 19:24:31,2921.57,Rhea Sahota,79d12cbd99dd50cbb60d4dda60d7fcf2b2a2566a38296a9ad0495980bfde9474,Sankaran-Sandal,Khammam,INR,Visa,07/30,ca824035-287e-46b8-ad7c-e82809a000d8,1,In-Person,209.190.156.203,Tablet
28,2020-11-08 09:53:02,4326.69,Kiara Yadav,41bdc3047bfb6a3f1545aa9318004826eb2becc4d342c9ab2797fd7817fa4369,Venkataraman-Dhar,Erode,USD,MasterCard,07/29,56ed77d7-6f6c-466f-9f3b-744acf19e3fc,1,Online,204.234.68.60,Desktop
29,2023-05-02 00:09:44,1448.31,Vihaan Dhingra,d3c75daead181dcb4e16519c16f7c05acfb181fba7c8b3f6838fc6b5aa7aa539,"Swamy, Chawla and Boase",Bareilly,USD,American Express,04/27,504e5352-360c-4882-8eb3-994c7b86f50b,1,In-Person,48.39.251.114,Mobile
30,2023-01-24 14:45:11,2480.39,Yasmin Sarraf,76af2c7b5f6e9251abfd533d48ba4b24184b809f78f6e3c4a089e64483a175ae,Grover Inc,Kavali,EUR,Visa,10/26,9ec3d77a-4066-4952-8b28-7ac78755df2d,1,In-Person,137.213.171.238,Mobile
31,2021-06-16 16:51:37,923.31,Nehmat Ram,e9d1b0da7ea0a238e18d28991eda99d52f142c20e3b76fbe2128881fb5777c05,Seshadri LLC,Jehanabad,INR,MasterCard,01/27,3e96c044-3951-4f5e-b6fb-daadf56ae370,0,In-Person,51.233.242.210,Mobile
32,2022-08-22 19:30:40,2613.96,Zeeshan Barad,ff6171e2fd98e6bdb1b0cad3f8279aa8f32621f6a238b65458ce2eccbeb493ea,Ramanathan-Bera,Hyderabad,INR,American Express,02/25,cbfa9f89-2fd8-4853-a650-7363e1c3def5,0,Online,149.190.124.245,Tablet
33,2020-02-21 04:44:43,4525.17,Kashvi Kothari,56370969fe7251f3a2bef5b6ccbee83a7864d3ce8dde3f28a78716af8c6f6e51,Jha-Maharaj,Madanapalle,USD,American Express,08/30,96e56db9-59b8-433b-a5d2-07927b03e490,0,Online,115.64.177.18,Desktop
34,2020-04-19 16:54:35,4469.12,Divij Kaur,24524e12778f12a4dd470c807cecdc1b20ffecb62f67b0281d1a026029122765,Baral-Zachariah,Indore,INR,MasterCard,06/29,1a243f63-b3ca-416f-a73c-c2844450d2ff,1,Online,178.107.59.132,Mobile
35,2020-10-03 02:13:51,380.84,Nitara Tank,f961a98bae486f9d7bb9c8a8c7a6b3f79fc04aefd8906e4b9c4ab8f71dbb37d3,Jain PLC,Mahbubnagar,USD,MasterCard,10/26,1d91e64e-decd-473b-9d0f-3e7d7f595129,0,Online,145.231.220.252,Mobile
36,2022-06-08 12:21:31,1052.74,Kaira Borah,75b3f866405c59161f81351d0c4ad34271b4abbce975aa6d00a07e3f80ac7a41,Bedi-Bhat,Muzaffarnagar,EUR,American Express,01/31,2c7a23ce-7150-4229-9be5-be051025b4b2,0,In-Person,145.82.32.245,Mobile
37,2021-12-14 02:22:11,3633.43,Farhan Bahri,996d9f9fcf43ceaad3b352b3a516e09faed26988989eba0470bee06e1d6e9235,Sodhi-Agrawal,Malda,EUR,American Express,04/31,d8ead5a9-12d9-453d-8fe1-007d8cde2b82,1,Online,135.210.99.44,Tablet
38,2020-03-26 13:47:26,120.89,Chirag Kashyap,e0d99d6da0ff6961950430d086f7069d9b0d0ac1023c645cb7a852285c756c7c,Iyengar-Garde,Secunderabad,EUR,American Express,05/29,4b8927f2-873d-475d-9c2b-682cfb187836,1,Online,211.132.170.84,Mobile
39,2023-05-29 11:03:55,869.66,Krish Rana,ad4d0d209bf872e084ff77c1cd525885e05d2d900eaf16712e1f6a2875897e36,Batra and Sons,Jalgaon,EUR,MasterCard,11/26,e93c45d5-8338-4606-bcd0-9cc84dba9310,1,In-Person,32.56.166.242,Mobile
40,2022-03-31 14:10:25,846.89,Vidur Agate,940a3aba2396604333c8dcd5ede403a7abbc857d7af758c3fc68b64c333e9f9c,Thakur-Trivedi,Bongaigaon,USD,American Express,06/25,8738aa00-d846-4449-adf5-d547722dbc05,1,In-Person,148.210.254.107,Mobile
41,2022-12-27 09:35:58,4432.28,Zain Chopra,6f6dfeace5d2499b7b59abea66cd388a6a78f28534c23d067f2fb79046965aeb,"Divan, Cheema and Dugar",Jehanabad,INR,Visa,10/24,f8cb87ee-cc99-41b9-8369-0ca905918a50,1,In-Person,135.165.132.148,Desktop
42,2020-06-01 21:41:24,4801.36,Vihaan Randhawa,74393ce588bf6651ca56fe761f4fa076814dfd8737ae028e8900125a9b1b6c4e,Soman LLC,Jalna,EUR,Visa,10/31,1818c356-5b54-40a9-8e1e-3cad815f1567,1,Online,195.242.42.170,Mobile
43,2022-12-11 01:32:52,441.26,Hiran Sem,3d99cd253c02412d3d227d728e4ade5f322c88224365cf6112285c6a3ec36bc8,Jayaraman-Butala,Gopalpur,EUR,MasterCard,06/32,eb456d06-dad0-4a8d-a4f2-76553e98e026,0,Online,54.64.160.180,Mobile
44,2020-09-25 11:47:59,1021.92,Lavanya Aggarwal,3479d69022e097921fb574a5e2929511e9cc728a1696f76126f243521adea8c6,"Reddy, Ghose and Deshmukh",Vellore,USD,Visa,08/30,17946ef4-6ff6-4f48-b2cc-8fb0603c581e,0,Online,64.151.248.176,Mobile
45,2021-01-21 09:03:26,2074.03,Vihaan Bhasin,bc9a45fb163eeb8991c440e67134ea511488a77b53bcdef45235ce0534111c91,Varghese Inc,Sirsa,USD,Visa,08/30,79662049-4974-477a-b587-74aaf1f569e7,1,In-Person,181.245.131.237,Tablet
46,2023-01-23 12:19:51,1352.51,Madhup Sundaram,7fb2a59bf1151a20def83d76aee23d67436e6fcff71934b6f025f7374fa0d0d7,Sridhar Inc,Latur,INR,Visa,05/31,39543b79-a92f-4a7f-aae2-7d309b96bf34,1,Online,57.92.206.46,Tablet
47,2021-03-11 10:58:39,87.11,Anika Gill,dd16b5519c81f906b50394cb24c37a4e4dc2636d5ff59077cc47362e937605b6,Basu and Sons,Begusarai,INR,American Express,01/28,aec474fd-2c3e-4ca2-82b0-5b521d5fdb13,1,Online,223.67.83.190,Mobile
48,2022-02-22 13:28:50,268.18,Dhruv Barman,3d93ec925412988d1eadefdb8d93dc430ad9e12a6a24c7e2391837b54ac9c4cb,Vasa-Agate,Vadodara,USD,American Express,10/29,15c95ff8-5e76-4616-ae43-f0fd18448a81,0,Online,196.88.75.231,Tablet
49,2020-02-23 01:11:10,2058.95,Khushi Warrior,82856132eac0c2f1d5899e25dc15b50f40c2d2133ee8b6ebd5c2251408be7a9e,Ratti-Bhatti,Faridabad,INR,Visa,06/33,d964b382-9f78-46e2-bd4f-59fd48bdbe4a,1,In-Person,197.172.101.248,Mobile
50,2023-02-15 23:05:41,3436.84,Dhanush Sinha,d9ef66289dc85324dc6f9f850d9dc404aaa96534404ed154a2679e500061f7d7,"Bassi, Bora and Master",Jabalpur,EUR,American Express,08/33,d62efadd-2b3b-4489-95a7-d7acf9482b1f,1,Online,30.121.64.161,Desktop
51,2023-03-12 22:43:39,531.41,Aayush Lala,dff85cc8207e21041e14ca6e2153a2568583901e7185a8abaca3323a27044a7e,Issac-Sane,Fatehpur,EUR,MasterCard,08/28,0dc908a5-1519-4df0-9c6d-12e7b4f6ae88,1,In-Person,215.92.45.32,Tablet
52,2021-07-21 18:54:00,350.56,Sana Bajaj,49ffe376cbce0f68c914b928bdfd9f5b3965dbf1d7e507fb5b44db38d5a179d1,"Deshpande, Sachdeva and Master",Saharsa,EUR,MasterCard,01/28,adc87aaa-ece1-4418-a861-2c8276b72ae4,0,In-Person,161.88.65.42,Mobile
53,2020-07-04 11:38:54,1594.56,Parinaaz Dube,b9455a5de8808cb75971efc04121b286972807b2f562472e21ac12db04e8e4f7,Sankar-Soni,Bahraich,USD,MasterCard,03/28,a00ac0ff-fc45-452c-bd37-48dc5a40d7e8,0,Online,213.44.188.40,Desktop
54,2020-07-22 03:34:30,1842.12,Hrishita Soni,5b8facc8d1796749f06fa910cf06c94ba8826417903baa38f0d3d2715e9aec75,Mammen-Chokshi,Panvel,EUR,Visa,05/31,2e6560c5-9bf5-4c24-9a61-ef133eac8a03,0,Online,73.180.20.59,Tablet
55,2020-09-13 22:11:31,230.1,Mahika Chowdhury,c25b46119311773c260a7c3cc76d9795e241525e6465515838332ee65be84ab5,Mand Ltd,Ichalkaranji,INR,American Express,06/25,8311cceb-ff32-4438-a9b2-93e48790378f,1,In-Person,113.18.102.128,Mobile
56,2023-01-02 23:07:49,3752.75,Siya Ramakrishnan,f032589348755ad79d3480892207ff9bdab30b16a1e39001660e626429c9110d,Gopal-Yadav,Anantapuram,INR,American Express,05/31,8d754059-db28-45d8-ad23-6ea8dd5098b2,0,In-Person,211.153.251.153,Tablet
57,2022-08-08 04:08:06,1043.52,Dharmajan Garg,e5b5cd2464be9702b963765fc562d30caf918a0e4ea2294eb9e3342fbd981de3,Ray and Sons,Mangalore,EUR,American Express,01/33,e00520cc-03c1-4a9b-9086-891b3fd5f85f,0,Online,11.117.50.122,Mobile
58,2021-10-03 05:11:16,454.21,Raghav Dua,e26e2ca96f8b07645b456ace1165817b1448c07b172d81f2e374b532a2343183,Tailor LLC,South Dumdum,EUR,Visa,02/32,7940cb96-148d-422f-b368-199748f64c5a,1,Online,200.195.101.4,Mobile
59,2021-04-18 05:25:42,916.68,Neelofar Mangal,cd89d2b840b7b6492b2c7851a6ede5b038319cdfaf44301b31fea0cfdde82403,Sane-Seshadri,Farrukhabad,EUR,Visa,08/27,b561d6e8-8a07-45ed-8156-d6ce3a12e100,0,In-Person,195.181.10.190,Tablet
60,2021-03-07 14:21:25,2873.36,Zain Dugal,567cc05409f48a242fb89b1f511b6e57a8c4b47d129273fba27e80e1fe205300,"Ratta, Bakshi and Uppal",Bangalore,INR,American Express,08/33,f768988f-49b5-41fa-8583-f6acb9acbbc0,1,In-Person,1.213.234.182,Mobile
61,2020-01-08 00:54:19,3583.7,Nitara Arora,d428be3d96681b8f2b0bce04662daed217722f00ffffea1dcaef4ed3a4b35791,Chakraborty Group,Tinsukia,INR,Visa,12/23,102a93d0-e7a9-4c3c-b2ae-8464e5479951,0,In-Person,32.214.132.22,Tablet
62,2023-03-09 19:32:57,4058.43,Aarna Wadhwa,ff63b578121ed224a1eee0f8c9b5691d78fe0673b77f70cda00d889d6db09aee,Dara Inc,Bareilly,USD,American Express,03/29,1b6a4055-6327-4af8-960c-9307a4f31f58,1,In-Person,18.64.162.173,Desktop
63,2022-05-18 11:05:36,506.34,Shayak Swaminathan,493e70fe955561a94e98e2e8ba149dff8c1fe48bffbc681ae20772f84b77a043,"Srinivas, Thakur and Swaminathan",Allahabad,INR,MasterCard,12/24,b3595913-37e5-4cce-a209-bd1922f30063,0,In-Person,143.100.38.16,Mobile
64,2020-02-15 15:22:13,4993.49,Ranbir Uppal,08e03cf4378eb4ef23547fd4e59243188d3d0966c5d31e2cffa37ec80d7243c3,"Raja, Bhat and Chander",Barasat,EUR,Visa,05/26,d97d1232-484b-4dda-b52a-f56a1e4c1649,1,Online,176.60.44.187,Mobile
65,2021-08-29 05:14:03,2640.91,Vivaan Thaman,ca7b1347c6f6ea271d934c36eced2e394d0dbcaea4660c9ad3494e85836dce8a,Goyal-Arya,Bahraich,USD,Visa,04/26,449e09a1-e57f-4a64-be60-f93b23ed012f,1,Online,165.251.3.104,Mobile
66,2021-06-14 20:34:28,2811.24,Ryan Kumer,6f9f92abb6ad2fc1c3a56ec7c7d65124c1d1b67c84838c5b3ab8f9b3d0614adf,Dube Ltd,Kharagpur,INR,Visa,09/30,57e576a3-5969-43f9-ab43-7aba23266e3a,0,In-Person,31.29.185.164,Tablet
67,2020-12-30 13:57:12,1869.35,Samiha Balay,96c77c321a236049eb33f71580133a551de9412c16974dc74ca4672a29d362be,"Tiwari, Mall and Rattan",Tirupati,INR,Visa,01/33,ad9d969f-e852-4989-b479-2229cd48367e,0,In-Person,117.50.126.113,Tablet
68,2020-10-13 22:20:02,194.52,Jiya Dube,c453d65c8461bacca95aa9eceb1c0f1d99f7485e2e864b68a491ee0867a94add,Kalita Inc,Amravati,INR,Visa,08/31,3297257d-1cc6-40d1-b7e0-eebc145bc911,1,In-Person,206.41.3.109,Mobile
69,2020-08-14 08:11:53,2641.12,Nayantara Grewal,a4d6f9440f3db70005b51cb1e04b60e597ac324396ed4e531407ede5209dd64a,"Bhakta, Ganguly and Raju",Ambattur,USD,Visa,05/28,6ee59184-82c0-43fc-9254-85f72a74e3dd,1,In-Person,132.87.168.71,Mobile
70,2022-11-16 11:10:25,2880.76,Rania Batta,b561074556afb9dfcd5507eef0b434e7a644a25130f4e7ea31709aaefb17dcf3,Bajwa Inc,Sasaram,INR,MasterCard,06/25,aa915ab7-1c63-4f36-907e-521a230175ee,0,Online,26.85.58.234,Tablet
71,2022-11-14 17:56:00,3464.75,Dharmajan Dash,78a60a6802ec9676f53518801522a43943ebf877abb86f138698dc7052cf3be4,Grewal PLC,Raiganj,EUR,Visa,11/27,8f6ffec9-d41f-43b2-a4f4-4675d2128269,1,Online,197.62.143.115,Tablet
72,2022-04-16 00:52:05,4102.82,Armaan Dar,ada39ccd00d99283e5a55c2ad3a796eb26638c0faa8fc0f36ecb698b224cbf6f,"Kumer, Roy and Dutt",Chapra,USD,American Express,08/26,a1689d2b-6353-44b6-9a66-45f61f460a7d,1,In-Person,211.94.41.11,Mobile
73,2023-06-25 11:07:54,4875.85,Amira Uppal,5d376d0ba49d1eb07b6665fba2db2f40624bf4d092c7b1c5ec10416b207640ca,"Dugar, Kari and Dar",Karaikudi,USD,Visa,04/32,61f89f2e-7bf2-46c7-a0f3-d88aaf501e2f,1,Online,217.201.60.20,Tablet
74,2021-06-05 16:32:37,4788.09,Zeeshan Lalla,63fa974ab1e5c7b534274f7260746648a65473d6431f08fea400cfde21da6bb2,Chad Inc,Ranchi,USD,Visa,10/29,2ecdd23f-b0f7-4de9-8de6-79916bbcc709,1,In-Person,181.172.135.146,Tablet
75,2021-12-22 23:18:35,3407.84,Alisha Ravel,c50ced3b10f8255489d5dc30c802ab8ab2fa7c9fca7133180ee16e05183a56b8,Kuruvilla PLC,Navi Mumbai,USD,MasterCard,02/31,7b22c4b3-8502-4333-862d-bba89fd06d7b,0,Online,208.180.11.76,Tablet
76,2022-10-25 14:28:16,300.66,Tiya Samra,2cc8d75484439a0bce69daf6339054a6a28ca5382dfbc83dd339c8dfb8aa1d74,"Anand, Raval and Ahluwalia",Tiruvottiyur,EUR,American Express,11/24,6572a822-c62f-486d-8d88-3147f2208603,0,In-Person,6.133.169.210,Tablet
77,2023-04-24 02:33:01,1081.58,Zaina Kothari,fb5a93f5cfd24a2137a1a47b9d69d6f2be49f4c7aeda8da5c0907bbac8e8b7ad,Chana Group,Ahmedabad,INR,Visa,07/24,7aea13c6-6105-4c99-8714-1d6a7979ca50,0,In-Person,196.91.77.68,Tablet
78,2023-01-10 21:22:21,3254.81,Tanya Sachdeva,818d6e3a16ae4429352713677df48d830c760d6be8a45dc20697d18d4f09c51b,Yogi-Swaminathan,Patiala,EUR,Visa,01/25,4509e63a-f7c3-475e-b814-460070371f2a,1,In-Person,197.42.147.154,Tablet
79,2023-01-01 12:59:51,1755.95,Akarsh Chaudry,e84d9959b6f31f4d1fcaed92ff8ec501b9f435500b090504a664562b2dbc8c33,Sagar-Kota,Mysore,INR,Visa,10/31,5eb6f9ee-b81a-4f4c-9c34-2e87cd4b6bfe,1,Online,220.173.39.150,Mobile
80,2023-03-25 02:44:40,1456.46,Lagan Bali,d4902918e4cd8236d60d41b533cfd422e18317bf4c65cd1576b90962dc2d7d77,Balakrishnan Inc,Kollam,INR,MasterCard,07/25,ae9572b5-fd32-4607-a6ec-000206672ada,0,In-Person,195.206.181.180,Mobile
81,2022-08-02 08:07:12,1385.76,Yasmin Kumar,8cb6163ebda6294f91f3d053579f6336624dd46225daf7ea0960a41ff2e6a235,Kaur and Sons,Bijapur,EUR,MasterCard,01/27,1fa710d1-6a06-4688-98fc-5376a05432cf,1,In-Person,143.239.87.110,Mobile
82,2021-11-21 21:46:34,3594.84,Kavya Bhatti,bab472a07232e7c7bfb7911b80a7858eb3ec7944067349d1324740da406b8624,Vaidya LLC,Gandhidham,USD,Visa,05/25,67557377-8458-4712-8a4a-341d01b623c5,1,In-Person,186.199.78.49,Desktop
83,2022-02-10 20:31:29,3155.88,Jivika Rattan,e816fe3f77e700b3d13b8488a37755d1a5e373459ee4bb44e08cbd1762c2aeeb,"Setty, Karpe and Vig",Dharmavaram,EUR,American Express,05/32,94b50729-9a5f-4dfc-8e1b-391cbc7b4597,0,In-Person,217.247.78.161,Tablet
84,2022-06-08 23:34:59,164.07,Mishti Mann,84ba6eb7f8104434d936645455170ab9f9d92b83a8ac77b0bf63725bdef2b2ce,Lad and Sons,Bathinda,USD,Visa,08/26,06e5febd-1000-4210-8c03-27356967021a,1,In-Person,196.238.139.57,Desktop
85,2021-10-22 17:04:31,4165.48,Samar Borah,0d2618414c8083d780db4ab48b71796ef94ed67354329741005e8feb91a3735a,Trivedi Ltd,Lucknow,EUR,MasterCard,11/32,9ea4049e-7e03-47cf-8e5b-480ff3ddc2d8,1,In-Person,129.152.88.127,Tablet
86,2023-04-22 16:54:58,2823.91,Misha Dube,c6d76ab77ceaabf9875d3a357cb9668c403c34f2fe20b4901058ab6caf412edb,Kant Inc,Pune,EUR,MasterCard,08/29,b23866b2-79d7-46e0-bb4c-3d5c1da7b971,0,In-Person,209.25.67.126,Mobile
87,2022-01-23 04:42:57,1338.86,Anya Sur,8cf8193a0354ef5f78690fbc160fde33e14fc5008ccdeabe50a6cabb62d9f5fd,Rama-Sawhney,Ongole,INR,MasterCard,12/24,94c485b6-b340-46e9-bfbf-d60fddda195a,0,In-Person,152.253.205.41,Mobile
88,2023-07-10 03:39:39,3721.86,Nirvaan Baral,3becc7a265280615c963c0f9c7d1a4b92c9a7c5618a77091af7542c06f0a60fb,"Balakrishnan, Kohli and Kata",Anantapur,INR,Visa,11/27,25df34f1-810a-4ef8-873a-ad002e568664,1,In-Person,187.146.16.208,Tablet
89,2022-10-30 11:43:18,4146.54,Suhana Thaker,cb6afb02740fdedd33011ceed39a65b069c766a1e555b7a4eaf73053342ea91c,Golla Ltd,Bareilly,USD,American Express,11/27,cef27823-3227-4b51-9466-18dd0cbe0cfa,0,In-Person,87.218.105.217,Mobile
90,2023-03-31 05:41:58,2515.53,Kartik Gara,2c4941e5449d7196eef7fedc325a380f28ad128fcb4a6cd2db4b59b20e32e017,Shenoy PLC,Tezpur,EUR,MasterCard,06/26,2ba9d9b1-ee56-4268-b3b6-8a6ac212ad38,0,Online,202.50.26.224,Mobile
91,2022-08-02 00:47:58,4088.07,Onkar Dhingra,625636f8fe24cd4d75f955fa5897284e25ff19e84b1669f60a28091bccda3e58,"Sem, Bhatia and Kala",Muzaffarpur,USD,American Express,08/29,e0b2549b-5f4f-4e97-b8e5-ef17ce4dbf32,1,In-Person,220.44.41.155,Mobile
92,2023-08-04 04:04:10,113.91,Kanav Sood,49cab3b09237e34d53821aa07186ef70a46099b0f0b1a90649a2a1e36bf144de,Goyal Group,Noida,INR,MasterCard,11/32,f1081239-5f13-43f8-849d-d26ce415df4f,1,In-Person,128.184.147.95,Mobile
93,2022-01-20 11:10:10,3663.65,Mahika Sangha,79da1a5f49b85b8e53d3b1978687324b9c44469d1e0ef9a6b9345a35291f6cb5,Ray-Tak,Sambalpur,USD,Visa,08/29,3e76b64d-2435-4080-b572-851fe31ed20a,0,Online,213.97.170.147,Tablet
